data.id,data.name,data.symbol,data.slug,data.num_market_pairs,data.date_added,data.tags.1,data.tags.2,data.tags.3,data.tags.4,data.tags.5,data.tags.6,data.tags.7,data.tags.8,data.tags.9,data.tags.10,data.tags.11,data.tags.12,data.tags.13,data.tags.14,data.tags.15,data.tags.16,data.tags.17,data.tags.18,data.tags.19,data.tags.20,data.tags.21,data.tags.22,data.tags.23,data.tags.24,data.tags.25,data.tags.26,data.tags.27,data.tags.28,data.tags.29,data.tags.30,data.tags.31,data.max_supply,data.circulating_supply,data.total_supply,data.platform,data.platform.id,data.platform.name,data.platform.symbol,data.platform.slug,data.platform.token_address,data.cmc_rank,data.self_reported_circulating_supply,data.self_reported_market_cap,data.last_updated,data.quote.USD.price,data.quote.USD.volume_24h,data.quote.USD.volume_change_24h,data.quote.USD.percent_change_1h,data.quote.USD.percent_change_24h,data.quote.USD.percent_change_7d,data.quote.USD.percent_change_30d,data.quote.USD.percent_change_60d,data.quote.USD.percent_change_90d,data.quote.USD.market_cap,data.quote.USD.market_cap_dominance,data.quote.USD.fully_diluted_market_cap,data.quote.USD.last_updated,total_market_cap,percent_of_total_marketcap,total_volume,percent_of_total_volume_24hr
1,Bitcoin,BTC,bitcoin,9191,2013-04-28T00:00:00.000Z,mineable,pow,sha-256,store-of-value,state-channel,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures-portfolio,galaxy-digital-portfolio,huobi-capital-portfolio,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital-portfolio,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-portfolio,,,,21000000,18971887,18971887,,,,,,,1,,,2022-03-01T23:24:00.000Z,44139.09239,32428928896,-7.7112,0.57866239,2.57322045,16.04247608,15.87855687,-4.97677194,-22.72774369,837401873032,43.2696,926920940109,2022-03-01T23:24:00.000Z,1713876316060,48.86%,170587058255,19.01%
1027,Ethereum,ETH,ethereum,5527,2015-08-07T00:00:00.000Z,mineable,pow,smart-contracts,ethereum-ecosystem,binance-smart-chain,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures-portfolio,hashkey-capital-portfolio,kenetic-capital-portfolio,huobi-capital-portfolio,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital-portfolio,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-portfolio,injective-ecosystem,bnb-chain,,119785607.1,119785607.1,,,,,,,2,,,2022-03-01T23:24:00.000Z,2960.451941,18812302908,-2.1149,0.21763391,2.10819771,12.93877511,12.98858336,-19.81135572,-35.43894055,354619532959,18.3212,354619532959,2022-03-01T23:24:00.000Z,,20.69%,,11.03%
825,Tether,USDT,tether,28914,2015-02-25T00:00:00.000Z,payments,stablecoin,asset-backed-stablecoin,binance-smart-chain,avalanche-ecosystem,solana-ecosystem,moonriver-ecosystem,injective-ecosystem,bnb-chain,,,,,,,,,,,,,,,,,,,,,,,,79416066408,82164697049,,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,3,,,2022-03-01T23:24:00.000Z,1.000387478,75817258811,6.2105,-0.00488993,0.00494253,-0.00613708,-0.00435685,0.03056788,0.00405933,79446838380,4.1046,82196534054,2022-03-01T23:24:00.000Z,,4.64%,,44.44%
1839,BNB,BNB,bnb,730,2017-07-25T00:00:00.000Z,marketplace,centralized-exchange,payments,smart-contracts,binance-smart-chain,alameda-research-portfolio,multicoin-capital-portfolio,moonriver-ecosystem,bnb-chain,,,,,,,,,,,,,,,,,,,,,,,165116760,165116760.9,165116760.9,,,,,,,4,,,2022-03-01T23:24:00.000Z,406.6558531,2890686590,56.5945,0.04263812,2.99725056,9.23740715,7.16049718,-20.79885936,-35.16500359,67145697253,3.4695,67145696891,2022-03-01T23:24:00.000Z,,3.92%,,1.69%
3408,USD Coin,USDC,usd-coin,3145,2018-10-08T00:00:00.000Z,medium-of-exchange,stablecoin,asset-backed-stablecoin,binance-smart-chain,fantom-ecosystem,moonriver-ecosystem,bnb-chain,,,,,,,,,,,,,,,,,,,,,,,,,,53538756984,53538756984,,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,5,,,2022-03-01T23:24:00.000Z,1.000131226,5708401911,4.4853,0.06046105,0.02899802,-0.00188564,-0.01762421,-0.01453294,0.16336497,53545782667,2.7664,53545782667,2022-03-01T23:24:00.000Z,,3.12%,,3.35%
52,XRP,XRP,xrp,684,2013-08-04T00:00:00.000Z,medium-of-exchange,enterprise-solutions,binance-chain,arrington-xrp-capital-portfolio,galaxy-digital-portfolio,a16z-portfolio,pantera-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,,,,100000000000,47949281138,99989739391,,,,,,,6,,,2022-03-01T23:24:00.000Z,0.7845686086,2927638151,-3.0766,0.11543612,0.58408016,9.7073299,29.140866,-5.46632921,-20.85870362,37619500785,1.9436,78456860859,2022-03-01T23:24:00.000Z,,2.19%,,1.72%
4172,Terra,LUNA,terra-luna,161,2019-07-26T00:00:00.000Z,cosmos-ecosystem,store-of-value,defi,payments,coinbase-ventures-portfolio,binance-labs-portfolio,solana-ecosystem,arrington-xrp-capital-portfolio,hashkey-capital-portfolio,kenetic-capital-portfolio,huobi-capital-portfolio,pantera-capital-portfolio,terra-ecosystem,,,,,,,,,,,,,,,,,,,,375148349.5,788426344.7,,,,,,,7,,,2022-03-01T23:24:00.000Z,89.94553636,4758386319,-3.2198,0.07005746,0.59823181,66.67775447,92.29654846,4.38495086,39.51772397,33742919507,1.7435,70915430449,2022-03-01T23:24:00.000Z,,1.97%,,2.79%
2010,Cardano,ADA,cardano,369,2017-10-01T00:00:00.000Z,mineable,dpos,pos,platform,research,smart-contracts,staking,binance-smart-chain,cardano-ecosystem,cardano,bnb-chain,,,,,,,,,,,,,,,,,,,,,45000000000,33661321602,34143444450,,,,,,,8,,,2022-03-01T23:24:00.000Z,0.9598805537,1785369585,0.179,-0.14641773,0.90055174,8.72371369,-8.26106621,-26.85920394,-37.90403876,32310848016,1.6693,43194624915,2022-03-01T23:24:00.000Z,,1.89%,,1.05%
5426,Solana,SOL,solana,264,2020-04-10T00:00:00.000Z,pos,platform,solana-ecosystem,cms-holdings-portfolio,kenetic-capital-portfolio,alameda-research-portfolio,multicoin-capital-portfolio,okex-blockdream-ventures-portfolio,,,,,,,,,,,,,,,,,,,,,,,,,320463873.9,511616946.1,,,,,,,9,,,2022-03-01T23:24:00.000Z,98.03205512,3251183729,-4.1003,0.31189058,-0.50328877,14.42107523,4.4504198,-42.58552388,-57.10161874,31415732150,1.6231,50154860666,2022-03-01T23:24:00.000Z,,1.83%,,1.91%
5805,Avalanche,AVAX,avalanche,202,2020-07-13T00:00:00.000Z,defi,smart-contracts,binance-smart-chain,polychain-capital-portfolio,avalanche-ecosystem,cms-holdings-portfolio,dragonfly-capital-portfolio,moonriver-ecosystem,injective-ecosystem,bnb-chain,,,,,,,,,,,,,,,,,,,,,,,246279112.4,395891289.9,,,,,,,10,,,2022-03-01T23:24:00.000Z,86.4411505,2287426400,21.7639,0.39937274,3.43194878,17.5150255,26.01270967,-21.75538812,-27.08561304,21288649819,1.0999,34221298572,2022-03-01T23:24:00.000Z,,1.24%,,1.34%
